Date,Open,High,Low,Close,Adj Close,Volume
13-06-07,2.785714,2.868572,2.721429,2.774286,2.774286,27407800
14-06-07,2.771429,2.794286,2.727143,2.740000,2.740000,11363100
15-06-07,2.864286,2.881428,2.802857,2.815714,2.815714,22093400
18-06-07,2.917143,2.921429,2.842857,2.860000,2.860000,12236000
19-06-07,2.891428,2.895714,2.842857,2.847143,2.847143,7909300
20-06-07,2.882857,2.891428,2.787143,2.792857,2.792857,6377700
21-06-07,2.791429,2.902857,2.787143,2.855714,2.855714,10077900
22-06-07,2.860000,2.874286,2.800000,2.811429,2.811429,7343000
25-06-07,2.821429,2.854286,2.794286,2.802857,2.802857,6802600
26-06-07,2.851429,2.855714,2.785714,2.788571,2.788571,5786200
27-06-07,2.791429,3.037143,2.787143,2.968571,2.968571,21091700
28-06-07,2.955714,2.955714,2.825714,2.835714,2.835714,14725200
29-06-07,2.867143,2.881428,2.765714,2.770000,2.770000,12084100
02-07-07,2.785714,2.835714,2.767143,2.782857,2.782857,7970200
03-07-07,2.801429,2.855714,2.798571,2.824286,2.824286,3085600
05-07-07,2.850000,2.871428,2.824286,2.831429,2.831429,6480600
06-07-07,2.834286,2.925714,2.834286,2.912857,2.912857,8071000
09-07-07,2.928571,2.957143,2.901428,2.918571,2.918571,8169000
10-07-07,2.915714,2.977143,2.857143,2.874286,2.874286,8853600
11-07-07,2.891428,2.891428,2.842857,2.858572,2.858572,5497100
12-07-07,2.858572,2.911429,2.841429,2.872857,2.872857,5622400
13-07-07,2.860000,2.921429,2.860000,2.877143,2.877143,4643800
16-07-07,2.891428,2.901428,2.857143,2.865714,2.865714,5152700
17-07-07,2.861428,2.900000,2.858572,2.887143,2.887143,4524800
18-07-07,2.891428,2.891428,2.821429,2.874286,2.874286,6498100
19-07-07,2.857143,2.890000,2.821429,2.848572,2.848572,5192600
20-07-07,2.848572,2.848572,2.800000,2.804286,2.804286,9616600
23-07-07,2.577143,2.584286,2.452857,2.467143,2.467143,53727800
24-07-07,2.368572,2.394286,2.231429,2.295714,2.295714,54085500
25-07-07,2.378572,2.398571,2.284286,2.385714,2.385714,37554300
26-07-07,2.384286,2.561429,2.321429,2.548571,2.548571,33457200
27-07-07,2.551429,2.557143,2.412857,2.442857,2.442857,20304900
30-07-07,2.444286,2.535714,2.427143,2.484286,2.484286,13633200
31-07-07,2.528571,2.528571,2.442857,2.461429,2.461429,9654400
01-08-07,2.464286,2.498571,2.397143,2.451429,2.451429,14216300
02-08-07,2.450000,2.477143,2.421429,2.444286,2.444286,9258900
03-08-07,2.457143,2.468571,2.362857,2.367143,2.367143,8661800
06-08-07,2.460000,2.460000,2.357143,2.422857,2.422857,11218200
07-08-07,2.492857,2.498571,2.421429,2.478571,2.478571,10384500
08-08-07,2.490000,2.638572,2.478571,2.567143,2.567143,12916400
09-08-07,2.432857,2.540000,2.374286,2.538571,2.538571,18304300
10-08-07,2.557143,2.565714,2.390000,2.555714,2.555714,10725400
13-08-07,2.571429,2.585714,2.452857,2.480000,2.480000,6819400
14-08-07,2.475714,2.551429,2.458571,2.494286,2.494286,5313000
15-08-07,2.504286,2.557143,2.484286,2.491429,2.491429,5427100
16-08-07,2.450000,2.571429,2.382857,2.414286,2.414286,13841100
17-08-07,2.564286,2.564286,2.430000,2.462857,2.462857,7107100
20-08-07,2.498571,2.498571,2.398571,2.452857,2.452857,5513200
21-08-07,2.478571,2.495714,2.437143,2.471429,2.471429,3348100
22-08-07,2.498571,2.502857,2.447143,2.490000,2.490000,4594100
23-08-07,2.471429,2.500000,2.428571,2.464286,2.464286,3038700
24-08-07,2.455714,2.545714,2.442857,2.542857,2.542857,6324500
27-08-07,2.534286,2.550000,2.442857,2.448571,2.448571,3496500
28-08-07,2.451429,2.508571,2.421429,2.425714,2.425714,4652900
29-08-07,2.435714,2.500000,2.417143,2.500000,2.500000,3855600
30-08-07,2.467143,2.498571,2.435714,2.457143,2.457143,4953900
31-08-07,2.478571,2.511429,2.450000,2.502857,2.502857,4745300
04-09-07,2.568571,2.674286,2.525714,2.591429,2.591429,11164300
05-09-07,2.580000,2.591429,2.514286,2.560000,2.560000,4132800
06-09-07,2.537143,2.570000,2.508571,2.570000,2.570000,7506100
07-09-07,2.527143,2.580000,2.501429,2.577143,2.577143,6757100
10-09-07,2.572857,2.574286,2.464286,2.485714,2.485714,6353200
11-09-07,2.477143,2.548571,2.467143,2.524286,2.524286,5483100
12-09-07,2.514286,2.522857,2.472857,2.480000,2.480000,2705500
13-09-07,2.471429,2.498571,2.438571,2.477143,2.477143,4442200
14-09-07,2.465714,2.542857,2.452857,2.531429,2.531429,4784500
17-09-07,2.621428,2.664286,2.598572,2.630000,2.630000,10098200
18-09-07,2.642857,2.771429,2.628572,2.747143,2.747143,6933500
19-09-07,2.785714,2.810000,2.751429,2.805714,2.805714,8152900
20-09-07,2.742857,2.792857,2.734286,2.782857,2.782857,7499100
21-09-07,2.821429,2.821429,2.677143,2.741429,2.741429,15879500
24-09-07,2.742857,2.794286,2.728571,2.755714,2.755714,6366500
25-09-07,2.757143,3.008571,2.754286,3.001429,3.001429,18057900
26-09-07,3.000000,3.157143,2.995714,3.134286,3.134286,15875300
27-09-07,3.111428,3.121428,3.001429,3.051429,3.051429,11898600
28-09-07,3.057143,3.085714,2.950000,2.964286,2.964286,8662500
01-10-07,2.957143,3.057143,2.941429,3.031429,3.031429,9528400
02-10-07,3.035714,3.047143,2.965714,3.028571,3.028571,4522700
03-10-07,3.002857,3.040000,2.971429,3.011429,3.011429,3612700
04-10-07,2.982857,3.038571,2.967143,3.020000,3.020000,4897900
05-10-07,3.032857,3.174286,3.028571,3.142857,3.142857,6549200
08-10-07,3.110000,3.188571,3.085714,3.181429,3.181429,3205300
09-10-07,3.178571,3.285714,3.167143,3.255714,3.255714,8563100
10-10-07,3.238571,3.381428,3.218571,3.345714,3.345714,10534300
11-10-07,3.344286,3.431429,3.232857,3.272857,3.272857,10007900
12-10-07,3.264286,3.334286,3.255714,3.285714,3.285714,4230800
15-10-07,3.414286,3.500000,3.370000,3.422857,3.422857,11533200
16-10-07,3.464286,3.464286,3.378572,3.424286,3.424286,6300000
17-10-07,3.400000,3.471429,3.377143,3.468571,3.468571,4249700
18-10-07,3.415714,3.471429,3.380000,3.432857,3.432857,7929600
19-10-07,3.470000,3.470000,3.228571,3.320000,3.320000,11195100
22-10-07,3.250000,3.324286,3.157143,3.287143,3.287143,21315000
23-10-07,3.684286,3.742857,3.502857,3.712857,3.712857,38485300
24-10-07,3.612857,3.625714,3.465714,3.607143,3.607143,13043100
25-10-07,3.588571,3.690000,3.584286,3.618572,3.618572,9669100
26-10-07,3.650000,3.671429,3.517143,3.602857,3.602857,10921400
29-10-07,3.677143,3.782857,3.642857,3.767143,3.767143,7771400
30-10-07,3.734286,3.800000,3.675714,3.777143,3.777143,12056800
31-10-07,3.782857,3.787143,3.682857,3.781429,3.781429,10792600
01-11-07,3.781429,3.811429,3.642857,3.755714,3.755714,10406200
02-11-07,3.721429,3.771429,3.714286,3.751429,3.751429,8920100
05-11-07,3.721429,3.857143,3.717143,3.787143,3.787143,7676900
06-11-07,3.777143,3.898571,3.758571,3.890000,3.890000,7774200
07-11-07,3.842857,3.910000,3.762857,3.840000,3.840000,7448000
08-11-07,3.820000,3.930000,3.724286,3.884286,3.884286,10652600
09-11-07,3.832857,3.838571,3.518571,3.607143,3.607143,13925100
12-11-07,3.592857,3.637143,3.485714,3.501429,3.501429,9178400
13-11-07,3.514286,3.630000,3.501429,3.630000,3.630000,6433000
14-11-07,3.655714,3.657143,3.531429,3.548571,3.548571,7147000
15-11-07,3.531429,3.548571,3.417143,3.437143,3.437143,6981100
16-11-07,3.434286,3.470000,3.250000,3.400000,3.400000,11610900
19-11-07,3.367143,3.428571,3.280000,3.315714,3.315714,6818000
20-11-07,3.275714,3.311429,3.164286,3.232857,3.232857,11195800
21-11-07,3.217143,3.224286,3.074286,3.078571,3.078571,10418800
23-11-07,3.104286,3.128572,3.037143,3.107143,3.107143,6153000
26-11-07,3.107143,3.170000,3.061429,3.067143,3.067143,6465900
27-11-07,3.087143,3.192857,3.071429,3.191429,3.191429,6707400
28-11-07,3.214286,3.320000,3.200000,3.287143,3.287143,9417800
29-11-07,3.260000,3.361428,3.260000,3.302857,3.302857,6612900
30-11-07,3.364286,3.420000,3.224286,3.300000,3.300000,8799700
03-12-07,3.428571,3.542857,3.367143,3.397143,3.397143,9137800
04-12-07,3.397143,3.417143,3.292857,3.392857,3.392857,5681200
05-12-07,3.331429,3.422857,3.292857,3.418571,3.418571,10406200
06-12-07,3.354286,3.414286,3.331429,3.414286,3.414286,6832000
07-12-07,3.412857,3.418571,3.348572,3.367143,3.367143,5803700
10-12-07,3.370000,3.387143,3.348572,3.355714,3.355714,4284700
11-12-07,3.357143,3.414286,3.300000,3.328571,3.328571,6779500
12-12-07,3.392857,3.420000,3.268571,3.308571,3.308571,5343100
13-12-07,3.270000,3.291429,3.215714,3.291429,3.291429,5160400
14-12-07,3.280000,3.405714,3.218571,3.360000,3.360000,9684500
17-12-07,3.330000,3.375714,3.287143,3.300000,3.300000,3688300
18-12-07,3.324286,3.467143,3.281429,3.454286,3.454286,4935000
19-12-07,3.440000,3.558571,3.408571,3.552857,3.552857,6424600
20-12-07,3.574286,3.928571,3.522857,3.891428,3.891428,22400000
21-12-07,3.984286,4.162857,3.958571,4.014286,4.014286,25501000
24-12-07,4.014286,4.088572,3.958571,3.987143,3.987143,3864000
26-12-07,3.958571,4.145714,3.958571,4.100000,4.100000,6311900
27-12-07,4.000000,4.034286,3.857143,3.921429,3.921429,11615800
28-12-07,3.921429,3.958571,3.755714,3.847143,3.847143,7536900
31-12-07,3.850000,3.897143,3.701429,3.802857,3.802857,10415300
02-01-08,3.794286,3.892857,3.662857,3.764286,3.764286,12527900
03-01-08,3.991429,4.042857,3.664286,3.724286,3.724286,21340200
04-01-08,3.720000,3.795714,3.478571,3.515714,3.515714,17202500
07-01-08,3.530000,3.564286,3.385714,3.554286,3.554286,12693800
08-01-08,3.542857,3.552857,3.247143,3.328571,3.328571,14490000
09-01-08,3.315714,3.357143,3.097143,3.285714,3.285714,15200500
10-01-08,3.234286,3.571429,3.181429,3.528571,3.528571,13379100
11-01-08,3.500000,3.521429,3.344286,3.344286,3.344286,8981700
14-01-08,3.408571,3.492857,3.247143,3.252857,3.252857,16165800
15-01-08,3.231429,3.307143,2.958571,3.150000,3.150000,37895200
16-01-08,3.078571,3.222857,3.000000,3.152857,3.152857,17956400
17-01-08,3.131428,3.227143,3.087143,3.110000,3.110000,11844000
18-01-08,3.115714,3.238571,3.078571,3.121428,3.121428,12496400
